Study.number,Study.code,Study.reference,Experiment.number,Study.short.name,Retrieved.from,Document.Type,On.money.priming.,Empirical.,Random.Assignment,Neutral.Comparison.,Eligible.,Why.not.,Able.to.compute.effect.size.,Included.,Notes,dep,prime,prime..extra.notes..,year.,jrnl,published,replication,Preregistered,Prime.Type..coder.1.,Prime.Type..coder.2.,Prime.Type..coder.agreement.,Prime.Type..final.code.,Setting..coder.1.,Setting..coder.2.,Setting..code.agreement.,Setting..final.code.,Behavioral.vs.non.behavioral..coder.1.,Behavioral.vs.non.behavioral..coder.2.,Behavioral.vs.non.behavioral..code.agreement.,Behavioral.vs..Non.behavioral,Problems.,Multiple.DV.,Interaction.,Notes..1,X2nd.factor,Simple.main.effect,Interaction.Identification..1.Largest.predicted.effect.,Notes.1,Contact.Author.,Information.to.seek,Aggregated.across.DVs.,d,var.of.d,g,var.of.g,Notes.,Notes.....1st.DV,Effect.size..D...Reported.,significance,n1,n2,N,m1.,m2,sd1,sd2,Direction.of.Effect,d.from.M.SD.n,Variance.of..d,g.from.M.SD.n,Variance.of.g,log.odds.ratio,percent1,percent2,Odds.ratio,A,B,C,D,variance.of.log.odds.ratio,Type.of.test.statistics,Value.of.test.statistics,converted.d,variance.of.d,converted.g,variance.of.g,Notes..2nd.effect.size,Effect.size..D...Reported..,Significance,n1.,n2.,N.,m1..1,m2.,sd1.,sd2.,Direction.of.Effect.1,d.from.M.SD.n.1,Variance.of..d.1,g.from.M.SD.n.1,Variance.of.g.1,log.odds.ratio.1,variance.of.log.odds.ratio.1,Type.of.test.statistics.1,Value.of.test.statistics.1,converted.d.1,variance.of.d.1,converted.g.1,variance.of.g.1,Notes..3rd.effect.size,Effect.size..D...Reported...1,Significance.1,n1..1,n2..1,N..1,m1..2,m2..1,sd1..1,sd2..1,Direction.of.Effect.2,d.from.M.SD.n.2,Variance.of..d.2,g.from.M.SD.n.2,Variance.of.g.2,Notes.2,Effect.size..D...Reported...2,Significance.2,n1..2,n2..2,N..2,m1..3,m2..2,sd1..2,sd2..2,Direction.of.Effect.3,d.from.M.SD.n.3,Variance.of..d.3,g.from.M.SD.n.3,Variance.of.g.3,keepformulas
1,1,"Aarts, H., Chartrand, T. L., Custers, R., Danner, U., Dik, G., Jefferis, V. E., & Cheng, C. M. (2005). Social stereotypes and automatic goal pursuit. Social Cognition, 23(6), 465–490. doi:10.1521/soco.2005.23.6.465",2,"Aarts, H., Chartrand, T. L., Custers, R., Danner, U., Dik, G., Jefferis, V. E., & Cheng, C. M. (2005), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Time taken on a mouse-click task (lesser time is indicative of greater goals directed behavior). ,Sentence descrambling,"Primes money-making goals. More specifically, primes were social groups who goals are to make money (e.g., manager, stockbrocker). ",2005,Social Cognition,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,Means and SDs not provided. Effect size from F-test,Time constraint (No vs. Yes),Time constraint = Yes,1,,,,,0.827043,0.10855,0.810612,0.10428,,,,1,20,20,40,,,,,1,,,,,,,,,,,,,,F,6.84,0.827043,0.10855,0.810612,0.10428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
15,15a,"Boucher, H. C., & Kofos, M. N. (2012). The idea of money counteracts ego depletion effects. Journal of Experimental Social Psychology, 48(4), 804–810. doi:10.1016/j.jesp.2012.02.003",1,"Boucher, H. C., & Kofos, M. N. (2012), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Difference in response time between congruent and incongruent trials on Stroop Task,Sentence descrambling,,2012,Journal of Experimental Social Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,,Ego depletion (Depleted vs. Not depleted),Ego-depletion = Depleted,1,,,,0,0.670475845089153,0.159425242619774,0.64973947874619,0.149716382589895,,,,1,13.25,13.25,26.5,15.52,20.94,7.44,8.68,1,0.670475845089153,0.159425242619774,0.64973947874619,0.149716382589895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
15,15a,"Boucher, H. C., & Kofos, M. N. (2012). The idea of money counteracts ego depletion effects. Journal of Experimental Social Psychology, 48(4), 804–810. doi:10.1016/j.jesp.2012.02.003",1,"Boucher, H. C., & Kofos, M. N. (2012), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Difference in response time between congruent and incongruent trials on Stroop Task,Sentence descrambling,,2012,Journal of Experimental Social Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,,Ego depletion (Depleted vs. Not depleted),Ego-depletion = Not Depleted,0,,,,0,-0.429291504587721,0.154420588602098,-0.416014447744802,0.1450165076935,,,,0,13.25,13.25,26.5,17.94,15.76,4.7,5.43,-1,-0.429291504587721,0.154420588602098,-0.416014447744802,0.1450165076935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
15,15b,"Boucher, H. C., & Kofos, M. N. (2012). The idea of money counteracts ego depletion effects. Journal of Experimental Social Psychology, 48(4), 804–810. doi:10.1016/j.jesp.2012.02.003",2,"Boucher, H. C., & Kofos, M. N. (2012), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Number of correct responses in a timed anagram task,Sentence descrambling,,2012,Journal of Experimental Social Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,"We decided to use only the main dependent variable as the 4 mediating variables are ""exploratory""",Ego depletion (Depleted vs. Not depleted),Ego-depletion = Depleted,1,,,,0,1.13102824707631,0.22632255843133,1.08454763418276,0.208102934192816,,,,1,10.25,10.25,20.5,6.7,4.1,2.83,1.6,1,1.13102824707631,0.22632255843133,1.08454763418276,0.208102934192816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
15,15b,"Boucher, H. C., & Kofos, M. N. (2012). The idea of money counteracts ego depletion effects. Journal of Experimental Social Psychology, 48(4), 804–810. doi:10.1016/j.jesp.2012.02.003",2,"Boucher, H. C., & Kofos, M. N. (2012), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Number of correct responses in a timed anagram task,Sentence descrambling,,2012,Journal of Experimental Social Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,"We decided to use only the main dependent variable as the 4 mediating variables are ""exploratory""",Ego depletion (Depleted vs. Not depleted),Ego-depletion = Not Depleted,0,,,,0,-0.549214787507968,0.202478948361401,-0.526644316788463,0.186178804085356,,,,0,10.25,10.25,20.5,5,6.5,2.65,2.81,-1,-0.549214787507968,0.202478948361401,-0.526644316788463,0.186178804085356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
22,22a,"Capaldi, C. A., & Zelenski, J. M. (2016). Seeing and being green? The effect of money priming on willingness to perform sustainable actions, social connectedness, and prosociality. The Journal of Social Psychology, 156(1), 1–7. doi:10.1080/00224545.2015.1047438",Canandian Sample,"Capaldi, C. A., & Zelenski, J. M. (2016), Study Canandian Sample",PsycINFO,Journal,1,1,1,1,1,,1,1,,DV1: Sustainable Willingness. DV2: Social Value Orientation. DV3: Social Connectedness,Sentence descrambling,,2016,The Journal of Social Psychology,1,0,1,2,2,1,2,2,2,1,2,2,2,1,2,0,1,0,Address multiple DVs using raw data from OSF. ,,,,,,,1,0.0620229794526059,0.00787292389068343,0.0617542184680699,0.00780606806109132,,DV: Sustainable Willingness,0.24,0,89,101,190,5.0921,4.8891,0.778,0.915,-1,-0.237812405161761,0.021285773418476,-0.236862422185083,0.021116053643045,,,,,,,,,,,,,,,,DV: Social Value Orientation,,,87,85,172,24.07,26.5,15.02,12.94,1,0.173190079684348,0.0233461529527216,0.172424880510485,0.0231403098460287,,,,,,,,,DV: Social Connectedness,,,95,103,198,3.668,3.927,1.073,0.995,1,0.25069126383523,0.0203937559509334,0.249730760908658,0.0202377813344358,,,,,,,,,,,,,,,,FALSE
22,22b,"Capaldi, C. A., & Zelenski, J. M. (2016). Seeing and being green? The effect of money priming on willingness to perform sustainable actions, social connectedness, and prosociality. The Journal of Social Psychology, 156(1), 1–7. doi:10.1080/00224545.2015.1047438",American Sample,"Capaldi, C. A., & Zelenski, J. M. (2016), Study American Sample",PsycINFO,Journal,1,1,1,1,1,,1,1,,DV1: Sustainable Willingness. DV2: Social Value Orientation. DV3: Social Connectedness,Sentence descrambling,,2016,The Journal of Social Psychology,1,0,1,2,2,1,2,2,2,1,2,2,2,1,2,0,1,0,Address multiple DVs using raw data from OSF. ,,,,,,,1,0.199562311328045,0.00880135691455821,0.198705939051418,0.00872664811384758,,DV: Sustainable Willingness,-0.13,0,88,99,187,5.027,5.172,1.255,1.073,1,0.124769301409268,0.0215062704715292,0.124262795449556,0.0213320137649816,,,,,,,,,,,,,,,,DV: Social Value Orientation,,,87,91,178,22.504,27.046,15.943,14.557,1,0.297836146256081,0.0227324390592503,0.296565152744319,0.0225388350657973,,,,,,,,,DV: Social Connectedness,,,90,102,192,3.489,3.713,1.193,1.338,1,0.176081486318787,0.0209957740594892,0.175385512064563,0.0208301275738381,,,,,,,,,,,,,,,,FALSE
59,59,"Gasiorowska, A., & Helka, A. M. (2012). Psychological consequences of money and money attitudes in dictator game. Polish Psychological Bulletin, 43(1), 20–26. doi:10.2478/v10059-012-0003-8",1,"Gasiorowska, A., & Helka, A. M. (2012), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Money transferred as a dictator in a dictator's game,Images,Images of coins vs. candies,2012,Polish Psychological Bulletin,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,DV2 and 3 Split by DV1. We decided to use only the first DV.,Attitude towards money (symbolic vs. instrumental),Attitude towards money = Instrumental,0,,,,,0.0752421866235165,0.116747543618779,0.0735190831130543,0.11146155554164,We used only the first DV. ,DV1: Money transferred. ,,0,20,15,35,4.4,4.53,1.957,1.356,1,0.0752421866235165,0.116747543618779,0.0735190831130543,0.11146155554164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
59,59,"Gasiorowska, A., & Helka, A. M. (2012). Psychological consequences of money and money attitudes in dictator game. Polish Psychological Bulletin, 43(1), 20–26. doi:10.2478/v10059-012-0003-8",1,"Gasiorowska, A., & Helka, A. M. (2012), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,DV1: Money transferred. DV2: Level of negative emotion. DV3: Level of satisfaction.: ,Images,Images of coins vs. candies,2012,Polish Psychological Bulletin,1,0,0,1,1,1,1,1,1,1,1,1,3,0,3,0,1,1,DV2 and 3 Split by DV1. We decided to use only the first DV.,Attitude towards money (symbolic vs. instrumental),Attitude towards money = Symbolic,1,,,,,0.946697275774222,0.13949387939028,0.922830957897561,0.132549229650139,We used only the first DV. ,DV1: Money transferred. ,,1,17,15,32,3.24,5.33,2.744,1.356,1,0.946697275774222,0.13949387939028,0.922830957897561,0.132549229650139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
61,61a,"Gino, F., & Mogilner, C. (2014). Time, money, and morality. Psychological Science, 25(2), 414–421. doi:10.1177/0956797613506438",1,"Gino, F., & Mogilner, C. (2014), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,, Extent of cheating.  ,Sentence descrambling,,2014,Psychological Science,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,1,0,"Two DVs. We decided only to use the ""extent of cheating"".",,,,,,,0,0.401923454055493,0.0627956646331834,0.397119588070766,0.0613035437151682,,Extent of cheating,,0,32,33,65,4.41,2.76,4.25,3.96,1,0.401923454055493,0.0627956646331834,0.397119588070766,0.0613035437151682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
63,63,"Gleibs, I. H., Morton, T. A., Rabinovich, A., Haslam, S. A., & Helliwell, J. F. (2013). Unpacking the hedonic paradox: A dynamic analysis of the relationships between financial capital, social capital and life satisfaction. British Journal of Social Psychology, 52(1), 25–43. doi:10.1111/j.2044-8309.2011.02035.x",1,"Gleibs, I. H., Morton, T. A., Rabinovich, A., Haslam, S. A., & Helliwell, J. F. (2013), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Correlation between income and well-being,Sentence descrambling,,2013,British Journal of Social Psychology,1,0,0,2,2,1,2,99,99,1,99,2,2,1,2,0,0,0,,,,,,,,0,0.415942,0.037568,0.41302,0.037042,,,     ,,57,42,,r = .48,r = .073,,,1,,,,,,,,,,,,,,p,0.032297,0.415942,0.037568,0.41302,0.037042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
69,69a,"Hansen, J., Kutzner, F., & Wänke, M. (2013). Money and thinking: Reminders of money trigger abstract construal and shape consumer judgments. Journal of Consumer Research, 39(6), 1154–1166. doi:10.1086/667691",1,"Hansen, J., Kutzner, F., & Wänke, M. (2013), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Level of abstractness on behavioral identification task,Sentence descrambling,,2013,Journal of Consumer Research,1,0,0,2,2,1,2,3,3,1,3,1,2,0,2,0,0,0,,,,,,,,0,0.5,0.064453125,0.493927125506073,0.0628969701191628,,,,1,32,32,64,0.53,0.45,0.16,0.16,1,0.5,0.064453125,0.493927125506073,0.0628969701191628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
69,69b,"Hansen, J., Kutzner, F., & Wänke, M. (2013). Money and thinking: Reminders of money trigger abstract construal and shape consumer judgments. Journal of Consumer Research, 39(6), 1154–1166. doi:10.1086/667691",2,"Hansen, J., Kutzner, F., & Wänke, M. (2013), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,No. of categories in the objects classification task (indicative of abstractness),Objects classification task ,"Money-related objects include purse, credit cards, coins, cash. ",2013,Journal of Consumer Research,1,0,0,3,3 or 4,1,3,3,3,1,3,1,2,0,2,0,0,0,,,,,,,,0,0.790357992014397,0.110572637891552,0.774228237075328,0.10610552174183,,,,1,19.5,19.5,39,7.5,8.95,1.7,1.96,1,0.790357992014397,0.110572637891552,0.774228237075328,0.10610552174183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
69,69c,"Hansen, J., Kutzner, F., & Wänke, M. (2013). Money and thinking: Reminders of money trigger abstract construal and shape consumer judgments. Journal of Consumer Research, 39(6), 1154–1166. doi:10.1086/667691",3,"Hansen, J., Kutzner, F., & Wänke, M. (2013), Study 3",PsycINFO,Journal,1,1,1,1,1,,1,1,,Letter task that measures abstractness (repeated measure),Pictures,,2013,Journal of Consumer Research,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,"Repeated measure, hence need to dereive difference score. Two money conditions (bank notes or coins) Authors predict larger effect in bank notes condition.. Two control condition (flowers, no prime). No prediction regarding relative magnitude of control group., thus aggregate the two control conditions. ",,,,,1,1) Difference score (Means and SDs) for the money conditions. 2) Difference score (Means and SDS) for the two control conditions (combined). 3) Cell size. ,0,0.845898717496913,0.115661245717416,0.829938364336594,0.111337845646099,,Diff score (Global - Local),,,14,28,42,-0.2126,-0.0266,0.32718,0.14173,1,0.845898717496913,0.115661245717416,0.829938364336594,0.111337845646099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
69,69d,"Hansen, J., Kutzner, F., & Wänke, M. (2013). Money and thinking: Reminders of money trigger abstract construal and shape consumer judgments. Journal of Consumer Research, 39(6), 1154–1166. doi:10.1086/667691",4,"Hansen, J., Kutzner, F., & Wänke, M. (2013), Study 4",PsycINFO,Journal,1,1,1,1,1,,1,1,,Product evaluation,Pictures,Pictures of credit card and cash. Participants also asked to decide which they prefer as medium of exchange,2013,Journal of Consumer Research,1,0,0,1,1,1,1,99,99,1,99,2,2,1,2,0,1,1,"Two control groups (music control, shopping control). No predictions regarding control group, hence need to aggregate. ",Feature valience (central-positive/peripheral-negative vs. central-negative/peripheral-positive),"Feature valience = ""central-negative/peripheral-positive""",0,,1,"Aggregated Mean, SD across two control conditions. Cell size. ",0,0.154972377321729,0.0681987568681591,0.153256815949164,0.0666971788687335,,Average Product Evaluation,,,21,49,70,2.6786,2.852,1.22766,1.07034,1,0.154972377321729,0.0681987568681591,0.153256815949164,0.0666971788687335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
